energy_loss,location_zip
5.38E-07,99557
9.44E-07,99557
9.35E-07,99557
1.01E-06,99557
1.05E-06,99557
1.05E-06,99557
1.09E-06,99557
1.09E-06,99557
1.13E-06,99557
1.13E-06,99557
1.13E-06,99557
1.10E-06,99557
1.09E-06,99557
9.97E-07,99557
9.79E-07,99557
1.01E-06,99557
9.79E-07,99557
9.35E-07,99557
9.03E-07,99557
8.59E-07,99557
5.47E-08,99557
2.16E-06,99557
8.97E-06,99557
9.17E-06,99557
8.87E-06,99557
9.06E-06,99557
9.00E-06,99557
8.50E-06,99557
4.66E-06,99557
8.39E-06,99557
8.53E-06,99557
8.40E-06,99557
8.50E-06,99557
3.034095794,99557
2.661242962,99557
2.425250231,99557
2.229129685,99557
2.450627086,99557
2.053711469,99557
2.302890167,99557
2.030289448,99557
1.462976876,99557
0.921056065,99557
0.742248969,99557
0.697962169,99557
0.499570312,99557
0.445015072,99557
0.446033856,99557
1.585467018,99557
1.244602369,99557
0.961060652,99557
0.752475744,99557
0.666004337,99557
0.577642202,99557
0.587784907,99557
0.680553151,99557
0.857441975,99557
0.958096777,99557
0.858483558,99557
0.749536655,99557
0.635763362,99557
0.494901486,99557
0.460773248,99557
0.395036908,99557
0.342926962,99557
0.320923536,99557
0.280123193,99557
0.257132661,99557
0.267796812,99557
0.305309652,99557
0.407757803,99557
0.382662272,99557
0.392592446,99557
0.584891744,99557
0.618410123,99557
0.902561667,99557
0.872543791,99557
0.986276092,99557
1.044264426,99557
1.271735745,99557
1.846514226,99557
1.82684897,99557
1.561251693,99557
0.787953818,99557
0.738734454,99557
0.427517047,99557
0.345158972,99557
0.318954317,99557
0.278649139,99557
0.281978396,99557
0.247100886,99557
0.205954074,99557
0.160738534,99557
0.300574482,99557
0.571743148,99557
0.482825113,99557
1.116686981,99557
1.66547122,99557
2.434603686,99557
2.962194917,99557
2.585492041,99557
2.428669796,99557
2.195664596,99557
2.441627078,99557
3.299087589,99557
3.5,99557
3.384849888,99557
2.14459097,99557
1.637229642,99557
1.309198903,99557
1.039278617,99557
0.800178705,99557
0.686190133,99557
0.61592951,99557
0.599206081,99557
0.542476721,99557
0.503245847,99557
0.481744307,99557
0.598927567,99557
1.541330012,99557
1.875710487,99557
2.265568723,99557
2.85308758,99557
3.203660763,99557
3.207526348,99557
3.5,99557
3.173092399,99557
3.264814465,99557
3.5,99557
3.5,99557
3.5,99557
2.653543915,99557
2.136706923,99557
1.956070551,99557
1.399632283,99557
1.196304775,99557
0.979684867,99557
0.720943212,99557
0.667201549,99557
0.632568252,99557
0.59513926,99557
0.505079077,99557
0.529436892,99557
0.824298111,99557
1.448216145,99557
2.085067513,99557
2.754959337,99557
3.048859026,99557
2.851477113,99557
3.321297956,99557
3.5,99557
3.5,99557
3.5,99557
3.5,99557
3.151192437,99557
1.83385932,99557
2.004109791,99557
1.487660288,99557
1.217960131,99557
0.989861905,99557
0.815866366,99557
0.728302365,99557
0.671927404,99557
0.593759002,99557
0.499945528,99557
0.553290431,99557
0.786660704,99557
1.355739692,99557
2.11884739,99557
2.779551633,99557
3.218782006,99557
3.277196013,99557
3.300345874,99557
2.950980337,99557
3.174550818,99557
3.5,99557
3.5,99557
3.5,99557
2.547344678,99557
1.70905663,99557
1.539744482,99557
1.367012764,99557
1.062564339,99557
0.867659996,99557
0.676854953,99557
0.607444367,99557
0.52133183,99557
0.560116659,99557
0.501970306,99557
0.570804828,99557
0.589717648,99557
1.182921409,99557
